# Radiometric Reference Reflectances
# Format: band,patch56,patch36,patch12,patch3
# Bands: 0R=RGB_Red, 0G=RGB_Green, 0B=RGB_Blue, 1=Blue, 2=Green, 3=Red, 4=RedEdge, 5=NIR
band,patch56,patch36,patch12,patch3
5,0.5647,0.3582,0.1148,0.0272
4,0.5618,0.3666,0.1191,0.0267
3,0.5599,0.3740,0.1228,0.0262
2,0.5567,0.3835,0.1256,0.0256
1,0.5500704789,0.390806116,0.126676427,0.02539390723
0R,0.5581634717,0.3790530195,0.124637386,0.02591108772
0G,0.5554092039,0.3851975973,0.1255882691,0.02554883719
0B,0.5500704789,0.390806116,0.126676427,0.02539390723
